	210	220	230	240	250	260	270	280	290	300	310	320	330	337
320	426.316666666667	1248.73333333333	238.833333333333	120.173333333333	237.553333333333	413.916666666667	631.600000000000	523.266666666667	186.066666666667	23.5866666666667	8.55000000000000	-214.6666667	2.03333333333336	0.187666666666667
330	330.302333333333	1026.22533333333	176.906666666667	119.656666666667	195.343333333333	379.895000000000	554.144333333333	475.776666666667	168.506666666667	46.2666666666667	18.3466666666667	-5.333333333	-109.3333333	-2.2
340	191.093333333333	1070.82333333333	239.830000000000	233.166666666667	364.296666666667	379.333333333333	485.239666666667	397.893333333333	180.518666666667	39.9733333333333	-4.633333333	6.03333333333333	-2.4	-70.66666667
350	194.726666666667	590.880000000000	178.386666666667	336.506666666667	618.470000000000	421.823333333333	422.626666666667	334.735333333333	201.635000000000	33.3420000000000	30.8933333333333	-2.166666667	10.4300000000000	2.23333333333335
360	144.208333333333	291.126666666667	175.740000000000	552.096666666667	782.640000000000	432.880000000000	502.203333333333	297.886666666667	222.384666666667	50.6336666666667	49.5746666666667	92.3566666666667	92.5966666666667	19.6433333333333
370	130.276666666667	368.720000000000	986.356666666667	2484.84000000000	2423.63666666667	1259.31333333333	2115.91000000000	383.502000000000	348.609333333333	380.539000000000	484.410000000000	933.437666666667	1256.98333333333	246.633333333333
380	134.196666666667	482.947000000000	1127.56000000000	3231.48000000000	4547.37000000000	1565.46333333333	2459.30666666667	1102.09800000000	824.212000000000	415.552333333333	493.233333333333	951.981000000000	1261.69033333333	378.203333333333
390	190.033333333333	533.941666666667	1414.20333333333	3052.47333333333	3461.64666666667	1905.34666666667	2961.19633333333	1500.97466666667	1108.18200000000	672.013666666667	602.713666666667	1083.46100000000	1486.79566666667	463.812666666667
400	325.228333333333	365.745666666667	1191.66000000000	3143.81000000000	5266.62333333333	1824.74666666667	2313.17400000000	1569.25366666667	1304.26900000000	929.431666666667	485.768666666667	778.752000000000	1027.11333333333	542.486000000000
410	297.183333333333	543.058333333333	1198.14333333333	2181.89333333333	3194.28000000000	2158.95866666667	2426.25966666667	1988.26700000000	1672.75933333333	1166.33966666667	454.554666666667	681.802666666667	884.253000000000	547.849333333333
420	217.990000000000	488.067000000000	1114.98000000000	2108.88000000000	3612.03000000000	2157.88666666667	2077.39466666667	1793.25733333333	1669.08333333333	1403.82266666667	406.221000000000	573.401000000000	758.877000000000	595.154666666667
430	203.430000000000	452.786666666667	1035.47000000000	1846.83666666667	2864.42333333333	2194.21333333333	2000.26033333333	1935.17666666667	1804.51100000000	1531.22166666667	382.883000000000	494.548000000000	642.780333333333	601.486000000000
440	328.866666666667	523.166666666667	925.463333333333	1604.12000000000	2243.15000000000	2006.31266666667	1738.23366666667	1686.23033333333	1652.78133333333	1470.62133333333	339.661000000000	437.993000000000	563.461000000000	557.099333333333
447	339.373333333333	472.550000000000	842.180000000000	1325.47000000000	2015.01000000000	1796.92000000000	1530.67500000000	1499.31733333333	1471.97133333333	1375.63300000000	300.068666666667	376.417666666667	468.996000000000	517.362000000000
